Well_ID,Well,CV:595,OD595
BLK,A1,0.202,0.008
,B1,0.206,0.012
,C1,0.174,-0.02
,D1,0.18,-0.014
,E1,0.205,0.011
,F1,0.212,0.018
,G1,0.19,-0.004
,H1,0.194,0
,A2,0.184,-0.01
,B2,0.188,-0.006
,C2,0.188,-0.006
,D2,0.177,-0.017
,E2,0.204,0.01
,F2,0.202,0.008
,G2,0.184,-0.01
,H2,0.215,0.021
SPL1,E3,2.692,2.497
,E4,2.613,2.419
,E5,2.507,2.313
,E6,2.493,2.299
,E7,2.514,2.32
SPL2,E8,0.444,0.249
,E9,0.422,0.228
,E10,0.501,0.307
,E11,0.442,0.248
,E12,0.403,0.209
SPL3,F3,1.589,1.395
,F4,1.612,1.418
,F5,1.397,1.202
,F6,1.296,1.102
,F7,1.287,1.093
SPL4,F8,0.208,0.014
,F9,0.212,0.018
,F10,0.246,0.052
,F11,0.196,0.001
,F12,0.194,0
SPL5,G3,0.204,0.01
,G4,0.186,-0.008
,G5,0.182,-0.012
,G6,0.173,-0.021
,G7,0.177,-0.017
SPL6,G8,0.179,-0.015
,G9,0.192,-0.002
,G10,0.179,-0.015
,G11,0.181,-0.013
,G12,0.166,-0.028
SPL7,H3,0.206,0.012
,H4,0.194,0
,H5,0.19,-0.004
,H6,0.188,-0.006
,H7,0.191,-0.003
SPL8,H8,0.206,0.012
,H9,0.189,-0.005
,H10,0.21,0.016
,H11,0.182,-0.012
,H12,0.184,-0.01
SPLC1,A3,0.506,0.312
,A4,0.432,0.238
,A5,0.281,0.087
,A6,0.299,0.105
,A7,0.397,0.203
SPLC2,A8,0.343,0.149
,A9,0.409,0.215
,A10,0.448,0.254
,A11,0.521,0.327
,A12,0.4,0.206
SPLC3,B3,0.375,0.181
,B4,0.424,0.23
,B5,0.334,0.14
,B6,0.353,0.159
,B7,0.318,0.124
SPLC4,B8,0.197,0.002
,B9,0.193,-0.001
,B10,0.203,0.009
,B11,0.207,0.013
,B12,0.208,0.014
SPLC5,C3,0.21,0.016
,C4,0.191,-0.003
,C5,0.191,-0.003
,C6,0.181,-0.013
,C7,0.178,-0.016
SPLC6,C8,0.155,-0.039
,C9,0.164,-0.03
,C10,0.201,0.007
,C11,0.173,-0.021
,C12,0.157,-0.037
SPLC7,D3,0.179,-0.015
,D4,0.173,-0.021
,D5,0.171,-0.023
,D6,0.17,-0.024
,D7,0.164,-0.03
SPLC8,D8,0.199,0.005
,D9,0.182,-0.012
,D10,0.176,-0.018
,D11,0.173,-0.021
,D12,0.181,-0.013
