Well_ID,Well,CV:595,OD595
BLK,A1,0.208,-0.036
,B1,0.216,-0.029
,C1,0.252,0.008
,D1,0.318,0.073
,E1,0.232,-0.012
,F1,0.299,0.055
,G1,0.208,-0.036
,H1,0.268,0.024
,A2,0.21,-0.035
,B2,0.192,-0.052
,C2,0.347,0.103
,D2,0.225,-0.019
,E2,0.243,-0.001
,F2,0.256,0.012
,G2,0.237,-0.007
,H2,0.197,-0.048
SPL1,E3,2.699,2.455
,E4,2.721,2.477
,E5,2.791,2.547
,E6,2.655,2.411
,E7,2.584,2.34
SPL2,E8,0.695,0.45
,E9,0.579,0.335
,E10,0.586,0.342
,E11,0.46,0.216
,E12,0.295,0.051
SPL3,F3,0.896,0.651
,F4,0.956,0.711
,F5,0.979,0.734
,F6,0.821,0.576
,F7,0.772,0.528
SPL4,F8,0.87,0.626
,F9,1.052,0.808
,F10,0.764,0.52
,F11,0.671,0.427
,F12,0.289,0.045
SPL5,G3,2.093,1.849
,G4,2.168,1.923
,G5,2.204,1.959
,G6,2.087,1.843
,G7,2.041,1.796
SPL6,G8,1.397,1.152
,G9,1.636,1.392
,G10,1.503,1.259
,G11,1.533,1.289
,G12,1.299,1.055
SPL7,H3,2.864,2.619
,H4,2.898,2.654
,H5,2.979,2.734
,H6,2.744,2.499
,H7,2.815,2.57
SPL8,H8,1.513,1.269
,H9,1.73,1.485
,H10,1.605,1.361
,H11,1.538,1.294
,H12,1.567,1.323
SPLC1,A3,0.389,0.145
,A4,0.326,0.081
,A5,0.456,0.211
,A6,0.32,0.075
,A7,0.317,0.072
SPLC2,A8,0.385,0.14
,A9,0.38,0.136
,A10,0.417,0.173
,A11,0.452,0.208
,A12,0.394,0.149
SPLC3,B3,0.248,0.004
,B4,0.333,0.088
,B5,0.263,0.019
,B6,0.311,0.066
,B7,0.23,-0.014
SPLC4,B8,0.318,0.074
,B9,0.329,0.085
,B10,0.348,0.104
,B11,0.262,0.018
,B12,0.414,0.169
SPLC5,C3,1.381,1.136
,C4,1.348,1.104
,C5,1.406,1.161
,C6,1.388,1.143
,C7,1.416,1.172
SPLC6,C8,1.545,1.301
,C9,1.583,1.339
,C10,1.701,1.457
,C11,1.803,1.558
,C12,1.785,1.541
SPLC7,D3,0.381,0.137
,D4,0.426,0.181
,D5,0.463,0.218
,D6,0.328,0.083
,D7,0.318,0.074
SPLC8,D8,1.484,1.24
,D9,1.421,1.177
,D10,1.64,1.395
,D11,1.601,1.356
,D12,1.742,1.498
