Well_ID,Well,CV:595,OD595
BLK,A1,0.219,0.007
,B1,0.22,0.008
,C1,0.221,0.01
,D1,0.204,-0.008
,A2,0.243,0.031
,B2,0.202,-0.01
,C2,0.218,0.006
,D2,0.21,-0.001
,E1,0.203,-0.009
,F1,0.198,-0.013
,G1,0.2,-0.012
,H1,0.205,-0.006
,E2,0.21,-0.001
,F2,0.214,0.002
,G2,0.214,0.003
,H2,0.205,-0.006
SPL1,E3,3.322,3.111
SPL1,E4,3.281,3.069
SPL1,E5,3.413,3.202
SPL1,E6,3.391,3.179
SPL1,E7,3.259,3.047
SPL2,E8,3.37,3.158
SPL2,E9,3.186,2.974
SPL2,E10,3.309,3.097
SPL2,E11,3.321,3.11
SPL2,E12,3.223,3.011
SPL3,F3,1.433,1.221
SPL3,F4,1.253,1.041
SPL3,F5,1.292,1.08
SPL3,F6,1.437,1.226
SPL3,F7,1.465,1.253
SPL4,F8,3.773,3.562
SPL4,F9,3.76,3.548
SPL4,F10,3.692,3.48
SPL4,F11,3.625,3.413
SPL4,F12,3.554,3.342
SPL5,G3,3.6,3.388
SPL5,G4,3.534,3.322
SPL5,G5,3.545,3.334
SPL5,G6,3.445,3.234
SPL5,G7,3.683,3.471
SPL6,G8,3.021,2.809
SPL6,G9,3.137,2.925
SPL6,G10,3.135,2.924
SPL6,G11,2.991,2.779
SPL6,G12,3.063,2.852
SPL7,H3,3.172,2.96
SPL7,H4,3.282,3.07
SPL7,H5,3.17,2.958
SPL7,H6,3.151,2.94
SPL7,H7,2.969,2.757
SPL8,H8,2.975,2.763
SPL8,H9,3.037,2.825
SPL8,H10,3.158,2.946
SPL8,H11,3.195,2.984
SPL8,H12,3.189,2.978
SPLC1,A3,0.567,0.356
SPLC1,A4,0.566,0.354
SPLC1,A5,0.414,0.203
SPLC1,A6,0.423,0.212
SPLC1,A7,0.494,0.282
SPLC2,A8,0.947,0.736
SPLC2,A9,0.901,0.689
SPLC2,A10,0.65,0.439
SPLC2,A11,0.983,0.771
SPLC2,A12,0.908,0.697
SPLC3,B3,1.746,1.535
SPLC3,B4,1.798,1.586
SPLC3,B5,1.796,1.584
SPLC3,B6,1.801,1.59
SPLC3,B7,2.018,1.806
SPLC4,B8,0.364,0.152
SPLC4,B9,0.446,0.235
SPLC4,B10,0.346,0.135
SPLC4,B11,0.446,0.234
SPLC4,B12,0.354,0.142
SPLC5,C3,0.29,0.078
SPLC5,C4,0.335,0.124
SPLC5,C5,0.468,0.256
SPLC5,C6,0.457,0.245
SPLC5,C7,0.505,0.293
SPLC6,C8,0.277,0.065
SPLC6,C9,0.289,0.077
SPLC6,C10,0.435,0.223
SPLC6,C11,0.443,0.231
SPLC6,C12,0.389,0.177
SPLC7,D3,0.35,0.138
SPLC7,D4,0.34,0.128
SPLC7,D5,0.478,0.266
SPLC7,D6,0.426,0.214
SPLC7,D7,0.577,0.365
SPLC8,D8,0.355,0.144
SPLC8,D9,0.452,0.24
SPLC8,D10,0.489,0.278
SPLC8,D11,0.475,0.263
SPLC8,D12,0.504,0.293
