Well_ID,Well,CV:595,OD595,Strain,Condition
SPL1,E3,1.824,1.642,P.k_WT,TSB
SPL1,E4,1.741,1.559,P.k_WT,TSB
SPL1,E5,1.688,1.506,P.k_WT,TSB
SPL1,E6,2.013,1.831,P.k_WT,TSB
SPL1,E7,2.326,2.144,P.k_WT,TSB
SPL2,E8,2.013,1.831,P8G4,TSB
SPL2,E9,2.197,2.015,P8G4,TSB
SPL2,E10,2.25,2.067,P8G4,TSB
SPL2,E11,2.295,2.113,P8G4,TSB
SPL2,E12,1.896,1.714,P8G4,TSB
SPL3,F3,1.319,1.137,P8A10,TSB
SPL3,F4,1.199,1.017,P8A10,TSB
SPL3,F5,1.315,1.133,P8A10,TSB
SPL3,F6,1.291,1.109,P8A10,TSB
SPL3,F7,1.236,1.054,P8A10,TSB
SPL4,F8,0.244,0.062,P9G4,TSB
SPL4,F9,1.002,0.82,P9G4,TSB
SPL4,F10,1.013,0.831,P9G4,TSB
SPL4,F11,1.151,0.969,P9G4,TSB
SPL4,F12,1.196,1.014,P9G4,TSB
SPL5,G3,1.162,0.98,P11A3,TSB
SPL5,G4,1.195,1.013,P11A3,TSB
SPL5,G5,1.322,1.14,P11A3,TSB
SPL5,G6,0.783,0.601,P11A3,TSB
SPL5,G7,1.091,0.909,P11A3,TSB
SPL6,G8,1.195,1.013,P12C2,TSB
SPL6,G9,1.21,1.028,P12C2,TSB
SPL6,G10,1.311,1.129,P12C2,TSB
SPL6,G11,1.443,1.261,P12C2,TSB
SPL6,G12,1.343,1.16,P12C2,TSB
SPLC1,A3,0.301,0.119,P.k_WT,ZmA
SPLC1,A4,0.304,0.122,P.k_WT,ZmA
SPLC1,A5,0.287,0.105,P.k_WT,ZmA
SPLC1,A6,0.283,0.101,P.k_WT,ZmA
SPLC1,A7,0.339,0.157,P.k_WT,ZmA
SPLC2,A8,0.398,0.215,P8G4,ZmA
SPLC2,A9,0.414,0.232,P8G4,ZmA
SPLC2,A10,0.413,0.231,P8G4,ZmA
SPLC2,A11,0.503,0.321,P8G4,ZmA
SPLC2,A12,0.503,0.321,P8G4,ZmA
SPLC3,B3,1.29,1.107,P8A10,ZmA
SPLC3,B4,1.249,1.067,P8A10,ZmA
SPLC3,B5,1.203,1.02,P8A10,ZmA
SPLC3,B6,1.268,1.086,P8A10,ZmA
SPLC3,B7,1.28,1.098,P8A10,ZmA
SPLC4,B8,0.513,0.331,P9G4,ZmA
SPLC4,B9,0.495,0.313,P9G4,ZmA
SPLC4,B10,0.527,0.345,P9G4,ZmA
SPLC4,B11,0.505,0.323,P9G4,ZmA
SPLC4,B12,0.557,0.375,P9G4,ZmA
SPLC5,C3,0.379,0.197,P11A3,ZmA
SPLC5,C4,0.364,0.182,P11A3,ZmA
SPLC5,C5,0.367,0.185,P11A3,ZmA
SPLC5,C6,0.343,0.161,P11A3,ZmA
SPLC5,C7,0.401,0.219,P11A3,ZmA
SPLC6,C8,0.384,0.202,P12C2,ZmA
SPLC6,C9,0.389,0.207,P12C2,ZmA
SPLC6,C10,0.424,0.242,P12C2,ZmA
SPLC6,C11,0.458,0.276,P12C2,ZmA
SPLC6,C12,0.402,0.22,P12C2,ZmA
